ChassisSim Rig Replay Log
Baseline run
Heave
Time (s)	heave inp (mm)	heave (mm)	pitch (deg)	roll (deg)	Damp FL (mm)	Damp FR (mm)	Damp RL (mm)	Damp RR (mm)	Hub disp FL (mm)	Hub disp FR (mm)	Hub disp RL (mm)	Hub disp RR (mm)	Delta TL FL (kg)	Delta TL FR (kg)	Delta TL RL (kg)	Delta TL RR (kg)
1.840000	-4.884213	-27.484072	0.117302	-0.000000	-14.110784	-14.110784	-9.404254	-9.404254	-14.741190	-14.741190	-14.494751	-14.494751	-306.758599	-306.758599	-364.909544	-364.909544
1.860000	-2.243752	-29.623328	0.180156	0.000000	-18.826957	-18.826957	-11.586770	-11.586770	-13.319859	-13.319859	-12.909003	-12.909003	-346.031417	-346.031417	-406.529462	-406.529462
1.880000	0.879996	-26.299937	0.211680	0.000000	-20.199055	-20.199055	-11.697564	-11.697564	-9.352756	-9.352756	-8.831114	-8.831114	-320.901739	-320.901739	-371.663916	-371.663916
1.900000	3.789535	-17.937668	0.204815	0.000000	-17.858090	-17.858090	-9.589414	-9.589414	-3.480062	-3.480062	-2.997107	-2.997107	-229.289530	-229.289530	-261.297056	-261.297056
1.920000	5.818222	-5.961999	0.159346	-0.000000	-11.842555	-11.842555	-5.439632	-5.439632	2.935573	2.935573	3.375394	3.375394	-92.799406	-92.799406	-96.442035	-96.442035
1.940000	6.486746	7.431791	0.080800	-0.000000	-3.277088	-3.277088	-0.047582	-0.047582	8.815820	8.815820	9.099111	9.099111	69.957011	69.957011	96.208353	96.208353
1.960000	5.624146	19.664418	-0.018789	0.000000	6.325457	6.325457	5.574475	5.574475	12.958799	12.958799	12.979730	12.979730	226.814592	226.814592	277.608808	277.608808
1.980000	3.421447	28.267598	-0.119812	0.000000	15.060448	15.060448	10.282451	10.282451	14.507289	14.507289	14.235291	14.235291	344.943180	344.943180	410.560659	410.560659
2.000000	0.399857	31.400604	-0.200308	-0.000000	21.060410	21.060410	13.063868	13.063868	13.121934	13.121934	12.611641	12.611641	397.271768	397.271768	465.287596	465.287596
2.020000	-2.704699	28.271252	-0.241383	-0.000000	22.928912	22.928912	13.312828	13.312828	9.058253	9.058253	8.381346	8.381346	368.628681	368.628681	423.907089	423.907089
2.040000	-5.117470	19.366410	-0.234132	-0.000000	20.134546	20.134546	10.719543	10.719543	3.154604	3.154604	2.559481	2.559481	260.481253	260.481253	295.094898	295.094898
2.060000	-6.220361	6.394392	-0.178997	-0.000000	12.930996	12.930996	5.769683	5.769683	-3.178195	-3.178195	-3.710400	-3.710400	97.683729	97.683729	98.858895	98.858895
