ChassisSim Rig Replay Log
R LS Bump 13K N/m/s, bypass 35mm
Heave
Time (s)	heave inp (mm)	heave (mm)	pitch (deg)	roll (deg)	Damp FL (mm)	Damp FR (mm)	Damp RL (mm)	Damp RR (mm)	Hub disp FL (mm)	Hub disp FR (mm)	Hub disp RL (mm)	Hub disp RR (mm)	Delta TL FL (kg)	Delta TL FR (kg)	Delta TL RL (kg)	Delta TL RR (kg)
1.620000	3.453776	-5.623108	0.084419	0.000000	-8.240476	-8.240476	-4.743460	-4.743460	1.266655	1.266655	1.389871	1.389871	-70.804988	-70.804988	-81.463328	-81.463328
1.640000	5.740439	4.091012	0.031672	0.000000	-3.160650	-3.160650	-1.736426	-1.736426	6.684595	6.684595	6.633849	6.633849	26.974128	26.974128	30.975980	30.975980
1.660000	6.952118	13.449876	-0.020931	-0.000000	2.624009	2.624009	1.755071	1.755071	10.975147	10.975147	10.994420	10.994420	123.497735	123.497735	151.301858	151.301858
1.680000	6.848112	20.871423	-0.074637	-0.000000	8.262715	8.262715	5.094749	5.094749	13.533506	13.533506	13.575670	13.575670	207.308945	207.308945	254.493868	254.493868
1.700000	5.433049	24.985179	-0.129270	-0.000000	12.921517	12.921517	7.584422	7.584422	13.911958	13.911958	13.785056	13.785056	264.251659	264.251659	317.625248	317.625248
1.720000	2.967340	24.899061	-0.172941	-0.000000	15.704643	15.704643	8.752896	8.752896	11.906034	11.906034	11.496618	11.496618	279.715141	279.715141	325.868386	325.868386
1.740000	-0.072923	20.443880	-0.182704	-0.000000	15.883477	15.883477	8.744098	8.744098	7.554426	7.554426	6.872870	6.872870	239.932187	239.932187	266.634668	266.634668
1.760000	-3.082484	12.229411	-0.152490	-0.000000	13.005588	13.005588	6.712939	6.712939	1.806775	1.806775	1.584812	1.584812	155.097960	155.097960	180.519822	180.519822
1.780000	-5.445529	1.538434	-0.099398	-0.000000	7.610585	7.610585	3.396466	3.396466	-4.230687	-4.230687	-4.274448	-4.274448	40.607974	40.607974	47.860853	47.860853
1.800000	-6.663849	-9.853187	-0.038912	0.000000	0.657137	0.657137	-0.931290	-0.931290	-9.446567	-9.446567	-9.564060	-9.564060	-84.403883	-84.403883	-107.345266	-107.345266
1.820000	-6.467758	-19.905989	0.030083	0.000000	-6.771739	-6.771739	-5.428968	-5.428968	-13.035386	-13.035386	-13.162251	-13.162251	-203.149019	-203.149019	-252.657645	-252.657645
1.840000	-4.884213	-26.693740	0.105868	-0.000000	-13.488934	-13.488934	-9.137583	-9.137583	-14.347987	-14.347987	-14.244125	-14.244125	-294.499930	-294.499930	-355.440566	-355.440566
1.860000	-2.243752	-28.787097	0.172741	-0.000000	-18.176685	-18.176685	-11.260566	-11.260566	-13.012722	-13.012722	-12.593325	-12.593325	-336.421272	-336.421272	-394.567551	-394.567551
1.880000	0.879996	-25.576616	0.208143	0.000000	-19.658455	-19.658455	-11.434090	-11.434090	-9.136676	-9.136676	-8.469204	-8.469204	-314.149036	-314.149036	-358.040216	-358.040216
1.900000	3.789535	-17.498469	0.191843	0.000000	-17.381871	-17.381871	-9.877912	-9.877912	-3.233341	-3.233341	-2.507821	-2.507821	-221.639477	-221.639477	-242.492664	-242.492664
