ChassisSim Rig Replay Log
R LS Bump 10K N/m/s
Heave
Time (s)	heave inp (mm)	heave (mm)	pitch (deg)	roll (deg)	Damp FL (mm)	Damp FR (mm)	Damp RL (mm)	Damp RR (mm)	Hub disp FL (mm)	Hub disp FR (mm)	Hub disp RL (mm)	Hub disp RR (mm)	Delta TL FL (kg)	Delta TL FR (kg)	Delta TL RL (kg)	Delta TL RR (kg)
1.320000	5.456281	6.962146	0.006543	0.000000	-0.200424	-0.200424	0.103334	0.103334	6.959891	6.959891	6.952876	6.952876	44.933214	44.933214	54.536602	54.536602
1.340000	7.171618	13.080638	-0.023701	0.000000	2.988949	2.988949	2.002752	2.002752	10.318658	10.318658	10.320085	10.320085	96.595081	96.595081	117.865320	117.865320
1.360000	7.869462	17.705063	-0.054343	0.000000	6.000624	6.000624	3.736911	3.736911	12.397672	12.397672	12.373619	12.373619	140.283912	140.283912	170.220803	170.220803
1.380000	7.435333	20.124273	-0.083273	0.000000	8.442794	8.442794	5.020780	5.020780	12.867018	12.867018	12.763090	12.763090	169.230058	169.230058	202.516963	202.516963
1.400000	5.916710	19.878461	-0.103650	0.000000	9.894184	9.894184	5.734824	5.734824	11.557570	11.557570	11.302101	11.302101	176.611436	176.611436	205.794046	205.794046
1.420000	3.524660	16.866166	-0.107590	0.000000	10.085448	10.085448	5.730190	5.730190	8.459123	8.459123	8.227521	8.227521	155.401824	155.401824	180.646017	180.646017
1.440000	0.610260	11.370437	-0.095805	0.000000	8.727488	8.727488	4.742981	4.742981	4.193291	4.193291	4.093585	4.093585	113.760724	113.760724	134.942582	134.942582
1.460000	-2.382798	4.027162	-0.074145	0.000000	6.051000	6.051000	2.986620	2.986620	-0.717205	-0.717205	-0.825953	-0.825953	54.254101	54.254101	62.070311	62.070311
1.480000	-4.983900	-4.222544	-0.043555	-0.000000	2.336111	2.336111	0.591832	0.591832	-5.617217	-5.617217	-5.758044	-5.758044	-17.455625	-17.455625	-26.630251	-26.630251
1.500000	-6.770324	-12.220614	-0.002659	-0.000000	-2.022429	-2.022429	-2.080307	-2.080307	-9.825956	-9.825956	-9.918849	-9.918849	-93.338166	-93.338166	-117.426065	-117.426065
1.520000	-7.439392	-18.754751	0.045046	0.000000	-6.460126	-6.460126	-4.615805	-4.615805	-12.670678	-12.670678	-12.630459	-12.630459	-161.847868	-161.847868	-195.963115	-195.963115
1.540000	-6.865363	-22.744114	0.090507	0.000000	-10.269976	-10.269976	-6.614998	-6.614998	-13.622837	-13.622837	-13.447285	-13.447285	-210.342056	-210.342056	-249.951345	-249.951345
1.560000	-5.129803	-23.423116	0.123931	0.000000	-12.748737	-12.748737	-7.735331	-7.735331	-12.442724	-12.442724	-12.190762	-12.190762	-228.657644	-228.657644	-269.352010	-269.352010
1.580000	-2.517706	-20.493762	0.138590	-0.000000	-13.363650	-13.363650	-7.763085	-7.763085	-9.245294	-9.245294	-8.938043	-8.938043	-211.353778	-211.353778	-246.184527	-246.184527
1.600000	0.522925	-14.241363	0.129530	-0.000000	-11.945318	-11.945318	-6.744199	-6.744199	-4.371525	-4.371525	-4.032517	-4.032517	-154.896586	-154.896586	-176.001672	-176.001672
1.620000	3.453776	-5.513701	0.097691	0.000000	-8.376327	-8.376327	-4.370505	-4.370505	1.183335	1.183335	1.364411	1.364411	-73.398664	-73.398664	-82.574000	-82.574000
1.640000	5.740439	4.400063	0.050024	0.000000	-3.273940	-3.273940	-1.207648	-1.207648	6.642536	6.642536	6.742085	6.742085	25.618851	25.618851	35.052345	35.052345
1.660000	6.952118	13.939990	-0.006376	-0.000000	2.644093	2.644093	2.361683	2.361683	11.062558	11.062558	11.118681	11.118681	126.152693	126.152693	156.027867	156.027867
1.680000	6.848112	21.490827	-0.066916	-0.000000	8.470828	8.470828	5.706390	5.706390	13.718675	13.718675	13.679320	13.679320	213.046495	213.046495	258.434587	258.434587
1.700000	5.433049	25.663804	-0.123962	-0.000000	13.238707	13.238707	8.194893	8.194893	14.099837	14.099837	13.897780	13.897780	270.117644	270.117644	321.890086	321.890086
1.720000	2.967340	25.562104	-0.165466	-0.000000	16.009553	16.009553	9.352922	9.352922	12.037445	12.037445	11.653113	11.653113	283.831143	283.831143	331.750859	331.750859
1.740000	-0.072923	21.006483	-0.176754	-0.000000	16.146649	16.146649	9.090102	9.090102	7.671011	7.671011	7.181885	7.181885	243.541525	243.541525	278.344811	278.344811
1.760000	-3.082484	12.602226	-0.155025	-0.000000	13.266156	13.266156	6.924775	6.924775	1.955515	1.955515	1.671381	1.671381	159.720989	159.720989	183.957719	183.957719
1.780000	-5.445529	1.659970	-0.108393	-0.000000	7.841501	7.841501	3.404615	3.404615	-4.130983	-4.130983	-4.349692	-4.349692	43.770890	43.770890	45.062406	45.062406
1.800000	-6.663849	-9.985771	-0.043976	-0.000000	0.718859	0.718859	-1.035969	-1.035969	-9.512349	-9.512349	-9.686658	-9.686658	-86.365566	-86.365566	-111.995884	-111.995884
1.820000	-6.467758	-20.246887	0.033233	-0.000000	-6.963079	-6.963079	-5.566870	-5.566870	-13.241212	-13.241212	-13.282849	-13.282849	-209.510593	-209.510593	-257.231061	-257.231061
