ChassisSim Rig Replay Log
R LS Bump 16K N/m/s, bypass 45mm, R LS Rebound 12K N/m/s
Heave
Time (s)	heave inp (mm)	heave (mm)	pitch (deg)	roll (deg)	Damp FL (mm)	Damp FR (mm)	Damp RL (mm)	Damp RR (mm)	Hub disp FL (mm)	Hub disp FR (mm)	Hub disp RL (mm)	Hub disp RR (mm)	Delta TL FL (kg)	Delta TL FR (kg)	Delta TL RL (kg)	Delta TL RR (kg)
1.640000	5.872926	4.143839	-0.004457	0.000000	-2.469095	-2.469095	-2.256919	-2.256919	6.966479	6.966479	6.537105	6.537105	33.137073	33.137073	24.115016	24.115016
1.660000	6.991454	12.702093	-0.048007	0.000000	2.798800	2.798800	0.875871	0.875871	10.800446	10.800446	10.687838	10.687838	117.958778	117.958778	139.487845	139.487845
1.680000	6.785709	19.452662	-0.082698	0.000000	7.762839	7.762839	4.068245	4.068245	12.938377	12.938377	13.158494	13.158494	191.245625	191.245625	241.584416	241.584416
1.700000	5.279762	23.125191	-0.127781	-0.000000	11.927675	11.927675	6.451765	6.451765	13.159468	13.159468	13.234750	13.234750	245.395615	245.395615	302.245326	302.245326
1.720000	2.752217	22.881559	-0.174326	-0.000000	14.563115	14.563115	7.557227	7.557227	11.207912	11.207912	10.783303	10.783303	263.761275	263.761275	305.754513	305.754513
1.740000	-0.307636	18.576509	-0.185256	-0.000000	14.796514	14.796514	7.787883	7.787883	6.946027	6.946027	5.997120	5.997120	226.777604	226.777604	240.606396	240.606396
1.760000	-3.289362	10.860024	-0.134509	-0.000000	11.918768	11.918768	6.724018	6.724018	1.133483	1.133483	0.551056	0.551056	138.846236	138.846236	146.989497	146.989497
1.780000	-5.581574	0.986223	-0.050603	-0.000000	6.486187	6.486187	3.932295	3.932295	-4.865507	-4.865507	-4.433522	-4.433522	23.372740	23.372740	44.782960	44.782960
1.800000	-6.699745	-9.417413	0.017126	-0.000000	-0.149827	-0.149827	0.230130	0.230130	-9.647642	-9.647642	-9.281256	-9.281256	-90.990161	-90.990161	-96.956923	-96.956923
1.820000	-6.394751	-18.517639	0.062593	0.000000	-6.775923	-6.775923	-3.986284	-3.986284	-12.567115	-12.567115	-12.732694	-12.732694	-191.719974	-191.719974	-240.022791	-240.022791
1.840000	-4.716916	-24.550736	0.114058	0.000000	-12.611993	-12.611993	-7.567338	-7.567338	-13.457588	-13.457588	-13.703864	-13.703864	-272.068469	-272.068469	-341.244854	-341.244854
1.860000	-2.017930	-26.195634	0.176941	-0.000000	-16.814221	-16.814221	-9.528487	-9.528487	-12.078312	-12.078312	-11.849673	-11.849673	-313.601413	-313.601413	-373.948714	-373.948714
1.880000	1.114539	-22.919075	0.216264	0.000000	-18.204021	-18.204021	-9.940527	-9.940527	-8.300326	-8.300326	-7.289423	-7.289423	-293.973786	-293.973786	-320.345096	-320.345096
1.900000	3.979699	-15.221226	0.185444	0.000000	-15.901781	-15.901781	-9.035080	-9.035080	-2.389264	-2.389264	-1.264327	-1.264327	-199.472154	-199.472154	-200.406477	-200.406477
1.920000	5.919749	-4.501193	0.092269	0.000000	-9.855887	-9.855887	-5.760700	-5.760700	4.006829	4.006829	3.829268	3.829268	-60.721295	-60.721295	-80.549100	-80.549100
1.940000	6.474981	7.276341	-0.003780	-0.000000	-1.753008	-1.753008	-1.414540	-1.414540	9.263111	9.263111	8.734111	8.734111	85.951211	85.951211	84.695529	84.695529
1.960000	5.500721	17.879181	-0.070427	-0.000000	6.578610	6.578610	3.639256	3.639256	12.339780	12.339780	12.307517	12.307517	212.468877	212.468877	257.786434	257.786434
1.980000	3.214970	25.133244	-0.130430	-0.000000	13.801784	13.801784	8.067914	8.067914	13.134587	13.134587	13.377815	13.377815	308.790187	308.790187	385.874882	385.874882
2.000000	0.159986	27.407733	-0.199167	-0.000000	18.850462	18.850462	10.559177	10.559177	11.600227	11.600227	11.443405	11.443405	356.572054	356.572054	429.094092	429.094092
2.020000	-2.918767	24.052546	-0.245643	-0.000000	20.455921	20.455921	11.068482	11.068482	7.693438	7.693438	6.546399	6.546399	331.282852	331.282852	360.753423	360.753423
2.040000	-5.251577	15.696085	-0.214482	-0.000000	17.580882	17.580882	9.592370	9.592370	1.757715	1.757715	0.512544	0.512544	219.382686	219.382686	220.016996	220.016996
2.060000	-6.239467	4.030771	-0.111775	0.000000	10.340363	10.340363	5.433348	5.433348	-4.500433	-4.500433	-4.344114	-4.344114	55.259545	55.259545	73.104120	73.104120
2.080000	-5.615565	-8.601460	-0.003024	0.000000	0.779134	0.779134	0.192684	0.192684	-9.319829	-9.319829	-8.839872	-8.839872	-114.572108	-114.572108	-121.472168	-121.472168
2.100000	-3.527911	-19.583462	0.078727	0.000000	-8.813742	-8.813742	-5.539076	-5.539076	-11.768671	-11.768671	-11.721695	-11.721695	-256.226300	-256.226300	-310.620754	-310.620754
2.120000	-0.516098	-26.510750	0.151858	0.000000	-16.689130	-16.689130	-10.155992	-10.155992	-11.857732	-11.857732	-11.981591	-11.981591	-353.181383	-353.181383	-435.508699	-435.508699
